[2022-06-26 05:49:51 PM-uap_sgd.py-INFO:2022-06-26 17:49:51.207704 | Dataloader: 50000 images]
[2022-06-26 05:51:37 PM-uap_sgd.py-INFO:2022-06-26 17:51:37.086730 | Epoch:  0 | accuracy = 0.75778]
[2022-06-26 05:56:18 PM-uap_sgd.py-INFO:2022-06-26 17:56:18.809360 | Epoch:  1 | accuracy = 0.6752 | uap: min=-0.11765 max=0.00000 mean=-0.05940]
[2022-06-26 06:00:56 PM-uap_sgd.py-INFO:2022-06-26 18:00:56.982521 | Epoch:  2 | accuracy = 0.67606 | uap: min=-0.11765 max=0.00000 mean=-0.05934]
[2022-06-26 06:05:55 PM-uap_sgd.py-INFO:2022-06-26 18:05:55.243320 | Epoch:  3 | accuracy = 0.68348 | uap: min=-0.11765 max=0.00000 mean=-0.05930]
[2022-06-26 06:10:48 PM-uap_sgd.py-INFO:2022-06-26 18:10:48.283947 | Epoch:  4 | accuracy = 0.67936 | uap: min=-0.11765 max=0.00000 mean=-0.05946]
[2022-06-26 06:15:42 PM-uap_sgd.py-INFO:2022-06-26 18:15:42.558673 | Epoch:  5 | accuracy = 0.68002 | uap: min=-0.11765 max=0.00000 mean=-0.05935]
[2022-06-26 06:20:34 PM-uap_sgd.py-INFO:2022-06-26 18:20:34.304822 | Epoch:  6 | accuracy = 0.67836 | uap: min=-0.11765 max=0.00000 mean=-0.05936]
[2022-06-26 06:25:29 PM-uap_sgd.py-INFO:2022-06-26 18:25:29.208145 | Epoch:  7 | accuracy = 0.68012 | uap: min=-0.11765 max=0.00000 mean=-0.05931]
[2022-06-26 06:30:30 PM-uap_sgd.py-INFO:2022-06-26 18:30:30.686384 | Epoch:  8 | accuracy = 0.6752 | uap: min=-0.11765 max=0.00000 mean=-0.05944]
[2022-06-26 06:35:46 PM-uap_sgd.py-INFO:2022-06-26 18:35:46.479111 | Epoch:  9 | accuracy = 0.67454 | uap: min=-0.11765 max=0.00000 mean=-0.05937]
[2022-06-26 06:40:47 PM-uap_sgd.py-INFO:2022-06-26 18:40:47.876169 | Epoch: 10 | accuracy = 0.68006 | uap: min=-0.11765 max=0.00000 mean=-0.05927]
[2022-06-26 06:45:58 PM-uap_sgd.py-INFO:2022-06-26 18:45:58.591073 | Epoch: 11 | accuracy = 0.6755 | uap: min=-0.11765 max=0.00000 mean=-0.05939]
[2022-06-26 06:51:08 PM-uap_sgd.py-INFO:2022-06-26 18:51:08.013431 | Epoch: 12 | accuracy = 0.67472 | uap: min=-0.11765 max=0.00000 mean=-0.05921]
[2022-06-26 06:56:12 PM-uap_sgd.py-INFO:2022-06-26 18:56:12.211006 | Epoch: 13 | accuracy = 0.67662 | uap: min=-0.11765 max=0.00000 mean=-0.05916]
[2022-06-26 07:01:20 PM-uap_sgd.py-INFO:2022-06-26 19:01:20.115428 | Epoch: 14 | accuracy = 0.67344 | uap: min=-0.11765 max=0.00000 mean=-0.05961]
[2022-06-26 07:06:20 PM-uap_sgd.py-INFO:2022-06-26 19:06:20.422347 | Epoch: 15 | accuracy = 0.67916 | uap: min=-0.11765 max=0.00000 mean=-0.05938]
[2022-06-26 07:11:20 PM-uap_sgd.py-INFO:2022-06-26 19:11:20.359072 | Epoch: 16 | accuracy = 0.67522 | uap: min=-0.11765 max=0.00000 mean=-0.05923]
[2022-06-26 07:16:23 PM-uap_sgd.py-INFO:2022-06-26 19:16:23.891379 | Epoch: 17 | accuracy = 0.67794 | uap: min=-0.11765 max=0.00000 mean=-0.05932]
[2022-06-26 07:21:24 PM-uap_sgd.py-INFO:2022-06-26 19:21:24.439505 | Epoch: 18 | accuracy = 0.67764 | uap: min=-0.11765 max=0.00000 mean=-0.05951]
[2022-06-26 07:26:28 PM-uap_sgd.py-INFO:2022-06-26 19:26:28.123438 | Epoch: 19 | accuracy = 0.68136 | uap: min=-0.11765 max=0.00000 mean=-0.05933]
[2022-06-26 07:31:33 PM-uap_sgd.py-INFO:2022-06-26 19:31:33.295191 | Epoch: 20 | accuracy = 0.67342 | uap: min=-0.11765 max=0.00000 mean=-0.05926]
[2022-06-26 07:36:35 PM-uap_sgd.py-INFO:2022-06-26 19:36:35.951909 | Epoch: 21 | accuracy = 0.67696 | uap: min=-0.11765 max=0.00000 mean=-0.05943]
[2022-06-26 07:41:41 PM-uap_sgd.py-INFO:2022-06-26 19:41:41.110003 | Epoch: 22 | accuracy = 0.67792 | uap: min=-0.11765 max=0.00000 mean=-0.05944]
[2022-06-26 07:46:41 PM-uap_sgd.py-INFO:2022-06-26 19:46:41.548930 | Epoch: 23 | accuracy = 0.67758 | uap: min=-0.11765 max=0.00000 mean=-0.05957]
[2022-06-26 07:51:54 PM-uap_sgd.py-INFO:2022-06-26 19:51:54.659729 | Epoch: 24 | accuracy = 0.6768 | uap: min=-0.11765 max=0.00000 mean=-0.05936]
[2022-06-26 07:57:19 PM-uap_sgd.py-INFO:2022-06-26 19:57:19.316080 | Epoch: 25 | accuracy = 0.6787 | uap: min=-0.11765 max=0.00000 mean=-0.05948]
[2022-06-26 08:02:27 PM-uap_sgd.py-INFO:2022-06-26 20:02:27.609851 | Epoch: 26 | accuracy = 0.6749 | uap: min=-0.11765 max=0.00000 mean=-0.05930]
[2022-06-26 08:07:30 PM-uap_sgd.py-INFO:2022-06-26 20:07:30.790850 | Epoch: 27 | accuracy = 0.67852 | uap: min=-0.11765 max=0.00000 mean=-0.05935]
[2022-06-26 08:12:36 PM-uap_sgd.py-INFO:2022-06-26 20:12:36.589779 | Epoch: 28 | accuracy = 0.67548 | uap: min=-0.11765 max=0.00000 mean=-0.05934]
[2022-06-26 08:30:25 PM-uap_sgd.py-INFO:2022-06-26 20:30:25.884304 | Epoch:  0 | accuracy = 0.713]
[2022-06-26 08:31:12 PM-uap_sgd.py-INFO:2022-06-26 20:31:12.353932 | Epoch:  1 | accuracy = 0.5805 | uap: min=-0.11765 max=0.00000 mean=-0.05744]



[2022-06-26 08:33:22 PM-uap_sgd.py-INFO:2022-06-26 20:33:22.417937 | Epoch:  0 | accuracy = 0.713]
[2022-06-26 08:36:00 PM-uap_sgd.py-INFO:2022-06-26 20:36:00.226247 | Epoch:  1 | accuracy = 0.6265 | uap: min=-0.07843 max=0.00000 mean=-0.03815]
[2022-06-26 08:36:00 PM-uap_sgd.py-INFO:2022-06-26 20:36:00.228469 | Saved best perturbation at ./perturbations/pert_sgd-uap_inception_v3_epoch2.npy]
[2022-06-26 08:38:42 PM-uap_sgd.py-INFO:2022-06-26 20:38:42.013654 | Epoch:  2 | accuracy = 0.653 | uap: min=-0.07843 max=0.00000 mean=-0.03836]
[2022-06-26 08:41:34 PM-uap_sgd.py-INFO:2022-06-26 20:41:34.449880 | Epoch:  3 | accuracy = 0.643 | uap: min=-0.07843 max=0.00000 mean=-0.03822]
[2022-06-26 08:44:21 PM-uap_sgd.py-INFO:2022-06-26 20:44:21.890385 | Epoch:  4 | accuracy = 0.638 | uap: min=-0.07843 max=0.00000 mean=-0.03820]
[2022-06-26 08:47:06 PM-uap_sgd.py-INFO:2022-06-26 20:47:06.124207 | Epoch:  5 | accuracy = 0.6575 | uap: min=-0.07843 max=0.00000 mean=-0.03823]
[2022-06-26 08:50:03 PM-uap_sgd.py-INFO:2022-06-26 20:50:03.283526 | Epoch:  6 | accuracy = 0.644 | uap: min=-0.07843 max=0.00000 mean=-0.03825]
[2022-06-26 08:53:00 PM-uap_sgd.py-INFO:2022-06-26 20:53:00.618594 | Epoch:  7 | accuracy = 0.645 | uap: min=-0.07843 max=0.00000 mean=-0.03807]
