[2022-06-27 02:47:03 AM-uap_sgd.py-INFO:2022-06-27 02:47:03.027843 | Epoch:  0 | accuracy = 0.803]
[2022-06-27 02:49:50 AM-uap_sgd.py-INFO:2022-06-27 02:49:50.135308 | Epoch:  1 | accuracy = 0.612 | uap: min=-0.15686 max=0.00000 mean=-0.07849]
[2022-06-27 02:49:50 AM-uap_sgd.py-INFO:2022-06-27 02:49:50.137037 | Saved best perturbation at ./perturbations/pert_negative_sgd-uap_resnet152_epoch2.npy]
[2022-06-27 02:52:46 AM-uap_sgd.py-INFO:2022-06-27 02:52:46.686922 | Epoch:  2 | accuracy = 0.6085 | uap: min=-0.15686 max=0.00000 mean=-0.07885]
[2022-06-27 02:52:46 AM-uap_sgd.py-INFO:2022-06-27 02:52:46.688713 | Saved best perturbation at ./perturbations/pert_negative_sgd-uap_resnet152_epoch3.npy]
[2022-06-27 02:55:53 AM-uap_sgd.py-INFO:2022-06-27 02:55:53.075044 | Epoch:  3 | accuracy = 0.5945 | uap: min=-0.15686 max=0.00000 mean=-0.07879]
[2022-06-27 02:55:53 AM-uap_sgd.py-INFO:2022-06-27 02:55:53.077036 | Saved best perturbation at ./perturbations/pert_negative_sgd-uap_resnet152_epoch4.npy]
[2022-06-27 02:59:01 AM-uap_sgd.py-INFO:2022-06-27 02:59:01.935791 | Epoch:  4 | accuracy = 0.5945 | uap: min=-0.15686 max=0.00000 mean=-0.07862]
[2022-06-27 03:02:11 AM-uap_sgd.py-INFO:2022-06-27 03:02:11.203917 | Epoch:  5 | accuracy = 0.625 | uap: min=-0.15686 max=0.00000 mean=-0.07907]
[2022-06-27 03:05:22 AM-uap_sgd.py-INFO:2022-06-27 03:05:22.320109 | Epoch:  6 | accuracy = 0.613 | uap: min=-0.15686 max=0.00000 mean=-0.07855]
[2022-06-27 03:08:23 AM-uap_sgd.py-INFO:2022-06-27 03:08:23.924359 | Epoch:  7 | accuracy = 0.603 | uap: min=-0.15686 max=0.00000 mean=-0.07882]
[2022-06-27 03:11:30 AM-uap_sgd.py-INFO:2022-06-27 03:11:30.246803 | Epoch:  8 | accuracy = 0.604 | uap: min=-0.15686 max=0.00000 mean=-0.07870]
[2022-06-27 03:14:27 AM-uap_sgd.py-INFO:2022-06-27 03:14:27.513543 | Epoch:  9 | accuracy = 0.585 | uap: min=-0.15686 max=0.00000 mean=-0.07877]
[2022-06-27 03:14:27 AM-uap_sgd.py-INFO:2022-06-27 03:14:27.515284 | Saved best perturbation at ./perturbations/pert_negative_sgd-uap_resnet152_epoch10.npy]
[2022-06-27 03:17:40 AM-uap_sgd.py-INFO:2022-06-27 03:17:40.546241 | Epoch: 10 | accuracy = 0.609 | uap: min=-0.15686 max=0.00000 mean=-0.07876]
[2022-06-27 03:21:04 AM-uap_sgd.py-INFO:2022-06-27 03:21:04.830853 | Epoch: 11 | accuracy = 0.618 | uap: min=-0.15686 max=0.00000 mean=-0.07869]
[2022-06-27 03:24:27 AM-uap_sgd.py-INFO:2022-06-27 03:24:27.613092 | Epoch: 12 | accuracy = 0.6145 | uap: min=-0.15686 max=0.00000 mean=-0.07867]
[2022-06-27 03:27:50 AM-uap_sgd.py-INFO:2022-06-27 03:27:50.136614 | Epoch: 13 | accuracy = 0.617 | uap: min=-0.15686 max=0.00000 mean=-0.07858]
[2022-06-27 03:31:09 AM-uap_sgd.py-INFO:2022-06-27 03:31:09.272213 | Epoch: 14 | accuracy = 0.6065 | uap: min=-0.15686 max=0.00000 mean=-0.07873]
[2022-06-27 03:34:32 AM-uap_sgd.py-INFO:2022-06-27 03:34:32.904831 | Epoch: 15 | accuracy = 0.611 | uap: min=-0.15686 max=0.00000 mean=-0.07882]
[2022-06-27 03:37:51 AM-uap_sgd.py-INFO:2022-06-27 03:37:51.426287 | Epoch: 16 | accuracy = 0.606 | uap: min=-0.15686 max=0.00000 mean=-0.07836]
[2022-06-27 03:41:08 AM-uap_sgd.py-INFO:2022-06-27 03:41:08.214171 | Epoch: 17 | accuracy = 0.5945 | uap: min=-0.15686 max=0.00000 mean=-0.07856]
[2022-06-27 03:44:24 AM-uap_sgd.py-INFO:2022-06-27 03:44:24.136846 | Epoch: 18 | accuracy = 0.6 | uap: min=-0.15686 max=0.00000 mean=-0.07909]
[2022-06-27 03:47:45 AM-uap_sgd.py-INFO:2022-06-27 03:47:45.709313 | Epoch: 19 | accuracy = 0.612 | uap: min=-0.15686 max=0.00000 mean=-0.07864]
[2022-06-27 03:50:54 AM-uap_sgd.py-INFO:2022-06-27 03:50:54.264832 | Epoch: 20 | accuracy = 0.598 | uap: min=-0.15686 max=0.00000 mean=-0.07880]
[2022-06-27 03:54:04 AM-uap_sgd.py-INFO:2022-06-27 03:54:04.055425 | Epoch: 21 | accuracy = 0.587 | uap: min=-0.15686 max=0.00000 mean=-0.07865]
[2022-06-27 03:57:18 AM-uap_sgd.py-INFO:2022-06-27 03:57:18.556593 | Epoch: 22 | accuracy = 0.62 | uap: min=-0.15686 max=0.00000 mean=-0.07895]
[2022-06-27 04:00:26 AM-uap_sgd.py-INFO:2022-06-27 04:00:26.774292 | Epoch: 23 | accuracy = 0.6 | uap: min=-0.15686 max=0.00000 mean=-0.07845]
[2022-06-27 04:03:37 AM-uap_sgd.py-INFO:2022-06-27 04:03:37.803038 | Epoch: 24 | accuracy = 0.624 | uap: min=-0.15686 max=0.00000 mean=-0.07884]
[2022-06-27 04:06:51 AM-uap_sgd.py-INFO:2022-06-27 04:06:51.785124 | Epoch: 25 | accuracy = 0.6095 | uap: min=-0.15686 max=0.00000 mean=-0.07871]
[2022-06-27 04:10:01 AM-uap_sgd.py-INFO:2022-06-27 04:10:01.565716 | Epoch: 26 | accuracy = 0.6015 | uap: min=-0.15686 max=0.00000 mean=-0.07870]
[2022-06-27 04:13:11 AM-uap_sgd.py-INFO:2022-06-27 04:13:11.114638 | Epoch: 27 | accuracy = 0.589 | uap: min=-0.15686 max=0.00000 mean=-0.07875]
[2022-06-27 04:16:16 AM-uap_sgd.py-INFO:2022-06-27 04:16:16.152771 | Epoch: 28 | accuracy = 0.617 | uap: min=-0.15686 max=0.00000 mean=-0.07891]
[2022-06-27 04:19:25 AM-uap_sgd.py-INFO:2022-06-27 04:19:25.059568 | Epoch: 29 | accuracy = 0.592 | uap: min=-0.15686 max=0.00000 mean=-0.07859]
[2022-06-27 04:22:36 AM-uap_sgd.py-INFO:2022-06-27 04:22:36.848431 | Epoch: 30 | accuracy = 0.6025 | uap: min=-0.15686 max=0.00000 mean=-0.07869]
[2022-06-27 04:25:47 AM-uap_sgd.py-INFO:2022-06-27 04:25:47.495320 | Epoch: 31 | accuracy = 0.5885 | uap: min=-0.15686 max=0.00000 mean=-0.07876]
[2022-06-27 04:29:00 AM-uap_sgd.py-INFO:2022-06-27 04:29:00.207208 | Epoch: 32 | accuracy = 0.611 | uap: min=-0.15686 max=0.00000 mean=-0.07850]
[2022-06-27 04:32:04 AM-uap_sgd.py-INFO:2022-06-27 04:32:04.300811 | Epoch: 33 | accuracy = 0.623 | uap: min=-0.15686 max=0.00000 mean=-0.07864]
[2022-06-27 04:35:16 AM-uap_sgd.py-INFO:2022-06-27 04:35:16.575465 | Epoch: 34 | accuracy = 0.6055 | uap: min=-0.15686 max=0.00000 mean=-0.07915]
[2022-06-27 04:38:36 AM-uap_sgd.py-INFO:2022-06-27 04:38:36.705670 | Epoch: 35 | accuracy = 0.598 | uap: min=-0.15686 max=0.00000 mean=-0.07870]
[2022-06-27 04:41:49 AM-uap_sgd.py-INFO:2022-06-27 04:41:49.422820 | Epoch: 36 | accuracy = 0.6235 | uap: min=-0.15686 max=0.00000 mean=-0.07867]
[2022-06-27 04:45:03 AM-uap_sgd.py-INFO:2022-06-27 04:45:03.352536 | Epoch: 37 | accuracy = 0.6095 | uap: min=-0.15686 max=0.00000 mean=-0.07854]
[2022-06-27 04:48:14 AM-uap_sgd.py-INFO:2022-06-27 04:48:14.875477 | Epoch: 38 | accuracy = 0.606 | uap: min=-0.15686 max=0.00000 mean=-0.07864]
[2022-06-27 04:51:28 AM-uap_sgd.py-INFO:2022-06-27 04:51:28.627168 | Epoch: 39 | accuracy = 0.604 | uap: min=-0.15686 max=0.00000 mean=-0.07863]
[2022-06-27 04:54:41 AM-uap_sgd.py-INFO:2022-06-27 04:54:41.785072 | Epoch: 40 | accuracy = 0.6015 | uap: min=-0.15686 max=0.00000 mean=-0.07848]
[2022-06-27 04:57:51 AM-uap_sgd.py-INFO:2022-06-27 04:57:51.775273 | Epoch: 41 | accuracy = 0.6145 | uap: min=-0.15686 max=0.00000 mean=-0.07887]
[2022-06-27 05:01:05 AM-uap_sgd.py-INFO:2022-06-27 05:01:05.254236 | Epoch: 42 | accuracy = 0.6095 | uap: min=-0.15686 max=0.00000 mean=-0.07868]
[2022-06-27 05:04:16 AM-uap_sgd.py-INFO:2022-06-27 05:04:16.593046 | Epoch: 43 | accuracy = 0.593 | uap: min=-0.15686 max=0.00000 mean=-0.07846]
[2022-06-27 05:07:23 AM-uap_sgd.py-INFO:2022-06-27 05:07:23.415643 | Epoch: 44 | accuracy = 0.6025 | uap: min=-0.15686 max=0.00000 mean=-0.07846]
[2022-06-27 05:10:37 AM-uap_sgd.py-INFO:2022-06-27 05:10:37.500871 | Epoch: 45 | accuracy = 0.601 | uap: min=-0.15686 max=0.00000 mean=-0.07916]
[2022-06-27 05:13:51 AM-uap_sgd.py-INFO:2022-06-27 05:13:51.770587 | Epoch: 46 | accuracy = 0.613 | uap: min=-0.15686 max=0.00000 mean=-0.07880]
[2022-06-27 05:17:04 AM-uap_sgd.py-INFO:2022-06-27 05:17:04.061281 | Epoch: 47 | accuracy = 0.5795 | uap: min=-0.15686 max=0.00000 mean=-0.07865]
[2022-06-27 05:17:04 AM-uap_sgd.py-INFO:2022-06-27 05:17:04.062619 | Saved best perturbation at ./perturbations/pert_negative_sgd-uap_resnet152_epoch48.npy]
[2022-06-27 05:20:17 AM-uap_sgd.py-INFO:2022-06-27 05:20:17.320913 | Epoch: 48 | accuracy = 0.6085 | uap: min=-0.15686 max=0.00000 mean=-0.07881]
